A&A	Antike und Abendland
ANSMN	American Numismatic Society Museum Notes
Antaeus	Antaeus. Mitteilungen des Archäologischen Instituts der Ungarischen Akademie der Wissenschaften
AntAfr	Antiquités africaines
AntCl	L'Antiquité classique
AntCr	Antichità cretesi
AntDenk	Antike Denkmäler
AntHung	Antiquitas Hungarica
Antiquity	Antiquity. A Quarterly Review of Archaeology
AntJ	The Antiquaries Journal. The Journal of the Society of Antiquaries of London
AntK	Antike Kunst
AntK-BH	Antike Kunst. Beiheft
AntP	Antike Plastik
AntW	Antike Welt. Zeitschrift für Archäologie und Kulturgeschichte
AnzAW	Anzeiger für die Altertumswissenschaft
AnzSchweiz	Anzeiger für schweizerische Altertumskunde
AnzWien	Anzeiger. Österreichische Akademie der Wissenschaften, Wien, Philologisch-historische Klasse
AOAT	Alter Orient und Altes Testament
Apulum	Apulum. Acta Musei Apulensis
AquilNost	Aquileia nostra
AR	Archaeological Reports (supplement to JHS)
Archaeology	Archaeology. An Official Publication of the Archaeological Institute of America
Archaeometry	Archaeometry. Bulletin of the Research Laboratory for Archaeology and the History of Art, Oxford University
ArchAnthrop	Archiv für Anthropologie
ArchAusgr	Archäologische Ausgrabungen
ArchAustr	Archaeologia austriaca
ArchCl	Archeologia classica
ArchDelt	Arkaiologikon Deltion
ArcheologiaPar	Archeologia. Trésors des âges [Paris]
ArcheologiaRom	Archeologia. Rivista bimestrale [Rome]
ArcheologiaWar	Archeologia. Rocznik Instytutu historii kultury materialnej Polskiej akademii nauk [Warsaw]
ArchEph	Archaiologike Ephemeris
ArchErt	Archaeologiai ertesítö
ArchEsp	Archivo español de arte y arqueología
ArchEspArq	Archivo español de arqueología
ArchEspArt	Archivo español de arte
ArchGeogr	Archaeologia geographica
ArchHom	F. Matz and H.G. Buchholz, eds., Archaeologia Homerica (Göttingen 1967– )
ArchInf	Archäologische Informationen. Mitteilungen zur Ur- und Frühgeschichte
Architectura	Architectura. Zeitschrift für Geschichte der Baukunst
ArchIug	Archaeologia iugoslavica
ArchJ	Archaeological Journal
ArchKF	Archiv für Keilschriftforschung
ArchKorrBl	Archaeologisches Korrespondenzblatt
ArchMiss	Archives des Missions scientifiques et littéraires
ArchNews	Archaeological News
ArchOrient	Archiv orientální
ArchPer	Archaeologia perusina
ArchPF	Archiv für Papyrusforschung und verwandte Gebiete
ArchPhilos	Archives de philosophie
ArchRW	Archiv für Religionswissenschaft
ArchSchw	Archäologie der Schweiz. Mitteilungsblatt der Schweizerischen Gesellschaft für Ur- und Frühgeschichte
ArchStor	Archivio storico italiano
ArchVen	Archeologia veneta
ArhVest	Arheoloski vestnik
ArqPort	O arqueólogo português
ArtB	The Art Bulletin
ArtJ	Art Journal
ARV2	J.D. Beazley, Attic Red-figure Vase-painters, 2nd ed. (Oxford 1963)
AS	Assyriological Studies
ASAE	Annales du Service des antiquités de l'Égypte
ASAtene	Annuario della Scuola archeologica di Atene e delle Missioni italiane in Oriente
ASE	Archaeological Survey of Egypt
ASR	C. Robert et al., Die antiken Sarkophagreliefs (Berlin 1890– )
Athenaeum	Athenaeum. Studi periodici di letteratura e storia dell'antichità, Università di Pavia
'Atiqot	'Atiqot. Journal of the Israel Department of Antiquities
AttiBol	Atti e memorie. Deputazione di storia patria per le province di Romagna [Bologna]
AttiCAntCl	Atti. Centro ricerche e documentazione sull'antichità classica
AttiCSDIR	Atti. Centro studi e documentazione sull'Italia romana
AttiCStR	Atti del Congresso nazionale di studi romani
AttiFir	Atti e memorie dell'Accademia toscana di scienze e lettere "La Colombaria" [Florence]
AttiIstr	Atti e memorie della Società istriana di archeologia e storia patria
AttiMGrecia	Atti e memorie della Società Magna Grecia
AttiMod	Atti e memorie. Deputazione di storia patria per le antiche province modenesi
AttiPal	Atti della Accademia di scienze, lettere e arti di Palermo
AttiPontAcc	Atti della Pontificia Accademia romana di archeologia
AttiTaranto	Atti del Convegno di studi sulla Magna Grecia, Taranto
AttiTor	Atti della Accademia delle scienze di Torino
AttiVen	Atti. Istituto veneto di scienze, lettere ed arti
AuChr	Antike und Christentum
AUF	Archiv für Urkundenforschung
AusgrFu	Ausgrabungen und Funde. Nachrichtenblatt für Vor- und Frühgeschichte
AvP	Altertümer von Pergamon
AZ	Archäologische Zeitung
BA	Beiträge zur Assyriologie
BAAlg	Bulletin d'archéologie algérienne
BABesch	Bulletin antieke beschaving. Annual Papers on Classical Archaeology
BAC	Bulletin archéologique du Comité des travaux historiques et scientifiques
BACrist	Bullettino di archeologia cristiana
BAHBeyrouth	Bibliothèque archéologique et historique, Institut français d'archéologie de Beyrouth
BalkSt	Balkan Studies
BaM	Baghdader Mitteilungen
BAMaroc	Bulletin d'archéologie marocaine
BANarb	Bulletin de la Commission archéologique de Narbonne
BAncLit	Bulletin d'ancienne littérature et d'archéologie chrétienne
BAntFr	Bulletin de la Société nationale des antiquaires de France
BAPD	Beazley Archive Pottery Database (www.beazley.ox.ac.uk)
BAProv	Bulletin archéologique du Provence
BAR	British Archaeological Reports
BAR-BS	British Archaeological Reports, British Series
BAR-IS	British Archaeological Reports, International Series
BASOR	Bulletin of the American Schools of Oriental Research
BASP	Bulletin of the American Society of Papyrologists
BASPR	Bulletin of the American School of Prehistoric Research
BAssBudé	Bulletin de l'Association Guillaume Budé
BByzI	Bulletin of the Byzantine Institute
BCH	Bulletin de correspondance hellénique
BCH Suppl.	Bulletin de correspondance hellénique. Supplément
BClevMus	The Bulletin of the Cleveland Museum of Art
BCSSA	Bollettino del Centro di studi per la storia dell'architettura
BdA	Bollettino d'arte
BdI	Bullettino dell'Istituto di corrispondenza archeologica
Beazley Addenda2	T.H. Carpenter, Beazley Addenda: Additional References to ABV, ARV2 and Paralipomena (Oxford 1989)
BÉFAR	Bibliothèque des Écoles françaises d'Athènes et de Rome
Belleten	Belleten. Türk tarih kurumu
Benndorf-Schöne	O. Benndorf and O. Schöne, Die antiken Bildwerke des Lateranensischen Museums (Leipzig 1867)
BÉO	Bulletin d'études orientales [Damascus]
BerlJV	Berliner Jahrbuch für Vor- und Frühgeschichte
BerlMus	Berliner Museen. Berichte aus den preussischen Kunstsammlungen
BerlNumZ	Berliner numismatische Zeitschrift
BerRGK	Bericht der Römisch-Germanischen Kommission
Berytus	Berytus. Archaeological Studies
BFAM	Bulletin of the Fogg Art Museum
BFC	Bollettino di filologia classica
BIABulg	Izvestija na Arheologiceskija institut. Bulletin de l'Institut archéologique bulgare
BIALond	Bulletin of the Institute of Archaeology of the University of London
BibAr	Bibliotheca archaeologica [Rome]
BiblArch	Biblical Archaeologist (see NEA)
BibM	Bibliotheca mesopotamica
BibO	Bibliotheca orientalis
BICS	Bulletin of the Institute of Classical Studies of the University of London
BIÉ	Bulletin de l'Institut d'Égypte
BIES	Bulletin of the Israel Exploration Society
BIFAO	Bulletin de l'Institut français d'archéologie orientale de Caire
BIHBelge	Bulletin de l'Institut historique belge de Rome
BIranInst	Bulletin of the Iranian Institute
BJb	Bonner Jahrbücher des rheinischen Landesmuseums in Bonn und des Vereins von Altertumsfreunden im Rheinlande
BJPES	Bulletin of the Jewish Palestine Exploration Society
BLund	Bulletin de la Société royale de lettres de Lund
BMC	Catalogue of the Greek Coins in the British Museum (London 1873– )
BMCR	Bryn Mawr Classical Review [online]
BMCRE	Coins of the Roman Empire in the British Museum (London 1923– )
BMCRR	H.A. Grueber, Coins of the Roman Republic in the British Museum (London 1910)
BMF	Bulletin des Musées de France
BMFA	Bulletin of the Museum of Fine Arts, Boston
BMFEA	Bulletin of the Museum of Far Eastern Antiquities
BMMA	Bulletin of the Metropolitan Museum of Art, New York
BMon	Bulletin monumental
BMonMusPont	Bollettino dei monumenti, musei e gallerie Pontificie
BMOP	British Museum Occasional Paper
BMQ	British Museum Quarterly
BMusBeyr	Bulletin du Musée de Beyrouth
BMusBrux	Bulletin des Musées royaux d'art et d'histoire, Bruxelles
BMusHongr	Bulletin du Musée hongrois des beaux-arts
BMusImp	Bullettino del Museo dell'impero romano
BMusKöln	Museen in Köln. Bulletin
BMY	The British Museum Yearbook
BNum	Bulletin de numismatique
BOffInt	Bulletin de l'Office internationale des Instituts d'archéologie et d'histoire de l'art
BollMC	Bolletino dei Musei comunali di Roma
BOran	Bulletin trimestriel des antiquités africaines recueillés par les soins de la Société de géographie et d'archéologie de la Province d'Oran
Boreas	Boreas. Münstersche Beiträge zur Archäologie
BPI	Bollettino di paleontologia italiana
BPW	Berliner philologische Wochenschrift
BrBr	H. Brunn, Denkmäler griechischer und römischer Sculptur in historischer Anordnung (Munich: Bruckmann, 1888–1911)
Britannia	Britannia. A Journal of Romano-British and Kindred Studies
BrookMusQ	Brooklyn Museum Quarterly
BSA	Annual of the British School at Athens
BSAE	British School of Archaeology in Egypt, Publications
BSOAS	Bulletin of the School of Oriental and African Studies
BSocBulg	Bulletin de la Société archéologique bulgare
BSOS	Bulletin of the School of Oriental Studies
BSPF	Bulletin de la Société préhistorique française
BSR	(see PBSR)
BSRAA	Bulletin de la Société royale d'archéologie d'Alexandrie
BStM	Bollettino dell'Associazione internazionale degli studi mediterranei
BullAIEMA	Bulletin d'information de l'Association internationale pour l'étude de la mosaïque antique
BullCom	Bullettino della Commissione archeologica Comunale di Roma
BullGov	Bullettino della Commissione archeologica del Governatorato di Roma
BullRoum	Académie roumaine, Bulletin de la section historique
BullZagreb	Bulletin international de l'Académie yugoslave [Zagreb]
BurlMag	The Burlington Magazine
BWPr	Winckelmannsprogramm der archäologischen Gesellschaft zu Berlin
Byzantion	Byzantion. Revue internationale des études byzantines
ByzArch	Byzantinisches Archiv
ByzZeit	Byzantinische Zeitschrift
CAD	The Assyrian Dictionary of the Oriental Institute of the University of Chicago
Caesaraugusta	Caesaraugusta. Publicaciones del Seminario de arqueología y numismática
CaesMarit	The Joint Expedition to Caesarea Maritima, Excavation Reports
CAF	Congrès archéologique de France
CAG	Carte archéologique de la Gaule
CAH	Cambridge Ancient History
CahArch	Cahiers archéologiques
CahArchSubaq	Cahiers d'archéologie subaquatique
CahArt	Cahiers d'art
CahByrsa	Cahiers de Byrsa
CahÉtAnc	Cahiers des études anciennes
CahHistArch	Cahiers d'histoire et d'archéologie
CahNum	Cahiers numismatiques
CahRhod	Cahiers rhodaniens
CahTech	Cahiers techniques de l'art
CahTun	Cahiers de Tunisie
CAJ	Cambridge Archaeological Journal
CANE	Civilizations of the Ancient Near East
CB	L.D. Caskey and J.D. Beazley, Attic Vase Paintings in the Museum of Fine Arts, Boston (Oxford 1931–1963)
CÉFR	Collection de l'École française de Rome
CHD	The Hittite Dictionary of the Oriental Institute of the University of Chicago
ChicagoMS15	The Chicago Manual of Style, 15th ed. (Chicago 2003)
Chiron	Chiron. Mitteilungen der Kommission für alte Geschichte und Epigraphik des Deutschen Archäologischen Instituts
CHR	Catholic Historical Review
ChrÉg	Chronique d'Égypte
CIA	Corpus inscriptionum atticarum
CIE	Corpus inscriptionum etruscarum
CIG	Corpus inscriptionum graecarum
CII	Corpus inscriptionum iudicarum
CIL	Corpus inscriptionum latinarum
CIS	Corpus inscriptionum semiticarum
CJ	Classical Journal
ClAnt	Classical Antiquity
ClMed	Classica et mediaevalia. Revue danoise de philologie et d'histoire
ClRh	Clara Rhodos
CMH	Cambridge Mediaeval History
CMS	Corpus der minoischen und mykenischen Siegel
CoinH	Coin Hoards
CollLatomus	Collection Latomus
CoMIK	J. Chadwick et al., Corpus of Mycenaean Inscriptions from Knossos (Cambridge 1986–1998)
Corinth	Corinth. Results of Excavations Conducted by the American School of Classical Studies at Athens
CP	Classical Philology
CPCA	University of California Publications in Classical Archaeology
CPCP	University of California Publications in Classical Philology
CPJ	Corpus papyrorum Judaicarum
CQ	Classical Quarterly
CR	Classical Review
CRAI	Comptes rendus des séances de l'Académie des inscriptions et belles-lettres [Paris]
CretChron	Kretika chronika. Keimena kai meletai tes kretikes istorias
CronCatania	Cronache di archeologia e di storia dell'arte, Università di Catania
CronErcol	Cronache ercolanensi
CronPomp	Cronache pompeiane
CRPétersb	Compte-rendu de la Commission impériale archéologique, St. Pétersbourg
CSCA	University of California Studies in Classical Antiquity
CSCO	Corpus scriptorum christianorum orientalium
CSE	Corpus speculorum etruscorum
CSEL	Corpus scriptorum ecclesiasticorum latinorum
CSIR	Corpus signorum imperii romani
CUE	Corpus delle urne etrusche di eta ellenistics
CurrAnthr	Current Anthropology
CVA	Corpus vasorum antiquorum
CVind	Commentationes Vindobonenses
CW	Classical World
Dacia	Dacia. Revue d'archéologie et d'histoire ancienne
DACL	F. Cabrol and E. Leclercq, Dictionnaire d'archéologie chrétienne et de liturgie (Paris 1907–1953)
DAF	Documents d'archéologie française
DarSag	C. Daremberg and E. Saglio, Dictionnaire des antiquités grecques et romaines (Paris 1875)
Dédalo	Dédalo. Revista de arte e arqueologia
Délos	Exploration archéologique de Délos faite par l'École française d'Athènes
DenkschrWien	Österreichische Akademie der Wissenschaften, Wien, Philosophisch- historische Klasse. Denkschriften
DialArch	Dialoghi di archeologia
Dioniso	Dioniso. Trimestrale di studi sul teatro antico
DissPan	Dissertationes Pannonicae
DissPontAcc	Atti della Pontificia Accademia romana di archeologia. Dissertazioni
DJbN	Deutsches Jahrbuch für Numismatik
DLZ	Deutsche Literaturzeitung
DM	Damaszener Mitteilungen
Docs2	M. Ventris and J. Chadwick, Documents in Mycenaean Greek, 2nd ed. (Cambridge 1973)
DOP	Dumbarton Oaks Papers
DossPar	Histoire et archéologie. Les dossiers [Paris]
EA	P. Arndt and W. Amelung, Photographische Einzelaufnahmen antiker Skulpturen (Munich 1893–1940)
EAA	Enciclopedia dell'arte antica, classica e orientale (Rome 1958–1984)
EchCl	Echos du monde classique. Classical Views
EchOr	Echos d'Orient
EEF	Egypt Exploration Fund
EES	Egypt Exploration Society
ÉHPR	Études d'histoire et de philosophie religieuses
EHR	English Historical Review
EJA	European Journal of Archaeology
Eirene	Eirene. Studia graeca et latina
Emerita	Emerita. Boletín de linguística y filología clásica
EntrHardt	Entretiens Hardt
Eos	Eos. Commentarii Societatis philologae polonorum
EpetByz	Epeteris Etaireias Buzantinon spoudon
EphDac	Ephemeris dacoromana
EphEp	Ephemeris epigraphica
Ephesos	Forschungen in Ephesos veröffentlicht vom Österreichischen Archäologischen Institut in Wien
EpigAnat	Epigraphica Anatolica. Zeitschrift für Epigraphik und historische Geographie Anatoliens
Epigraphica	Epigraphica. Rivista italiana di epigrafia
EPK	Egyetemes philologiai Közlöny
ÉPRO	Études préliminaires aux religions orientales dans l'empire romain
EpSt	Epigraphische Studien
EranJb	Eranos Jahrbuch
Eranos	Eranos. Acta philologica suecana
Ergon	To Ergon tes Archaiologikes Etaireias
ErIsr	Eretz-Israel
ES	Etruskische Spiegel
ESA	Eurasia septentrionalis antiqua
Espérandieu	E. Espérandieu, Recueil général des bas-reliefs, statues, et bustes de la Gaule romaine (Paris 1907– )
ET	H. Rix, Etruskische Texte: Editio minor (Tübingen 1991)
ÉtBalk	Études balkaniques
ÉtByz	Études byzantines
ÉtCelt	Études celtiques
ÉtCl	Les études classiques
ÉtCrét	Études crétoises
EthnolAnz	Ethnologischer Anzeiger
Ethnos	Ethnos. Revista do Instituto português de arqueologia, história e etnografia
ÉtPap	Études de papyrologie
EtrStud	Etruscan Studies. Journal of the Etruscan Foundation.
ÉtTrav	Études et travaux. Studia i prace. Travaux du Centre d'archéologie méditerranéenne de l'Académie des sciences polonaise
EVP	J.D. Beazley, Etruscan Vase Painting (Oxford 1947)
EW	East and West
ExcArqEsp	Excavaciones arqueológicas en España
Expedition	Expedition. Bulletin of the University Museum of the University of Pennsylvania
FA	Fasti archaeologici
FdD	Fouilles de Delphes, École française d'Athènes
FelRav	Felix Ravenna
FGrHist	F. Jacoby, Fragmente der griechischen Historiker (Berlin 1923- )
FHG	K. Müller, Fragmenta historicorum graecorum (Frankfurt 1975, repr. of 1841-1938 eds.)
FIFAO	Fouilles de l'Institut français d'archéologie orientale
Figlina	Figlina. Documents du Laboratoire de céramologie de Lyon
Fittschen-Zanker	K. Fittschen and P. Zanker, Katalog der römischen Porträts in den Capitolinischen Museen und den anderen kommunalen Sammlungen der Stadt Rom (Mainz 1985 )
FolArch	Folia archaeologica. Magyar Nemzeti Múzeum Történeti Múzeumänak Évkönyve
FolOr	Folia orientalia
FR	A. Furtwängler and K. Reichhold, Griechische Vasenmalerei (Munich 1900-1925)
Franchthi	Excavations at Franchthi Cave, Greece
FuB	Forschungen und Berichte. Staatliche Museen zu Berlin
FuF	Forschungen und Fortschritte
GacNum	Gaceta numismática [Barcelona]
Gallia	Gallia. Fouilles et monuments archéologiques en France métropolitaine
GalliaPrHist	Gallia préhistoire
GaR	Greece and Rome
GazArch	Gazette archéologique
GBA	Gazette des beaux-arts
GCS	Griechische christliche Schriftsteller der ersten drei Jahrhunderte
Genava	Genava. Bulletin du Musée de Genève
Gercke-Norden	A. Gercke and E. Norden, Einleitung in die Altertumswissenschaft (Leipzig 1910-1912)
Germania	Germania. Anzeiger der Römisch-Germanischen Kommission des Deutschen Archäologischen Instituts
GettyMusJ	The J. Paul Getty Museum Journal
GGA	Göttingische gelehrte Anzeiger
GGR3	M.P. Nilsson, Geschichte der griechischen Religion, 3rd ed. (Munich 1967)
Glotta	Glotta. Zeitschrift für griechische und lateinische Sprache
Gnomon	Gnomon. Kritische Zeitschrift für die gesamte klassische Altertumswissenschaft
GORILA	L. Godart and J.-P. Olivier, Recueil des inscriptions en Linéaire A (Paris 1976- )
GöttNachr	Nachrichten von der Gesellschaft der Wissenschaften zu Göttingen
GPVJ	Gesellschaft pro Vindonissa. Jahresbericht
GrazBeitr	Grazer Beiträge
GRBM	Greek, Roman and Byzantine Monographs
GRBS	Greek, Roman and Byzantine Studies
GRBSA	Greek, Roman and Byzantine Scholarly Aids
GrCirclB	G.E. Mylonas, Grave Circle B of Mycenae (Lund 1964)
Gymnasium	Gymnasium. Zeitschrift für Kultur der Antike und Bildung
HallWPr	Hallisches Winckelmannsprogramm
HBA	Hamburger Beiträge zur Archäologie
HBN	Hamburger Beiträge zur Numismatik
HdA	Handbuch der Archäologie (Handbuch der Altertumswissenschaft, Berlin 1931- )
Helbig4	W. Helbig, Führer durch die öffentlichen Sammlungen klassischer Altertümer in Rom, 4th ed. supervised by H. Speier (Tübingen 1963-1972)
Heldensage3	F. Brommer, Vasenlisten zur griechischen Heldensage, 3rd ed. (Marburg 1973)
Helikon	Helikon. Rivista di tradizione e cultura classica
Helinium	Helinium. Revue consacrée à l'archéologie des Pays-Bas, de la Belgique et du Grand Duché de Luxembourg
Helios	Helios. Journal of the Classical Association of the Southwestern United States
HelvArch	Helvetia archaeologica
Hephaistos	Hephaistos. Kritische Zeitschrift zur Theorie und Praxis der Archäologie und angrenzendes Wissenschaften
Hermes	Hermes. Zeitschrift für klassische Philologie
Hesperia	Hesperia. The Journal of the American School of Classical Studies at Athens
HispAnt	Hispania antigua. Revista de historia antigua
Historia	Historia. Zeitschrift für alte Geschichte
HistrArch	Histria archaeologica
HJ	Historisches Jahrbuch
HSCP	Harvard Studies in Classical Philology
HTR	Harvard Theological Review
HuelvaArq	Huelva arqueológica
HZ	Historische Zeitschrift
ICr	Inscriptiones creticae
IEJ	Israel Exploration Journal
IG	Inscriptiones graecae
IGCH	C. Kraay, O. Mørkholm, and M. Thompson, An Inventory of Greek Coin Hoards (New York 1973)
IGForsch	Indogermanische Forschungen
IGLSyr	Inscriptions grecques et latines de la Syrie
IGRR	Inscriptiones graecae ad res romanas pertinentes
II	Inscriptiones Italiae
IJb	Indogermanisches Jahrbuch
IJCT	International Journal of the Classical Tradition
IJMES	International Journal for Middle East Studies
IJNA	International Journal of Nautical Archaeology and Underwater Exploration
ILLRP	H. Degrassi, Inscriptiones latinae liberae rei publicae (Rome 1957- )
ILN	The Illustrated London News
ILS	H. Dessau, ed., Inscriptiones latinae selectae (1892-1916)
IMJ	Israel Museum Journal
IMN	Israel Museum News
INJ	Israel Numismatic Journal
IntArch	Internet Archaeology [online]
IOS	Israel Oriental Studies
Iran	Iran. Journal of the British Institute of Persian Studies
IrAnt	Iranica antiqua
Iraq	Iraq, published by the British School of Archaeology in
Iraq	
IsMEO	Istituto italiano per il Medio ed Estremo Oriente
IstArkMüzYill	Istanbul Arkeologi Müzeleri Yilligi
IstForsch	Istanbuler Forschungen
IstMitt	Istanbuler Mitteilungen
IstMitt-BH	Istanbuler Mitteilungen. Beiheft
Italica	Italica. Cuadernos de trabajos de la Escuela española de historica y arqueología en Roma
JaarbAkAmst	Jaarboek van de Akademie te Amsterdam
JAC	Jahrbuch für Antike und Christentum
JANER	Journal of Ancient Near Eastern Religions
JANES	Journal of the Ancient Near East Society of Columbia University
JAnthArch	Journal of Anthropological Archaeology
JAOS	Journal of the American Oriental Society
JARCE	Journal of the American Research Center in Egypt
JAS	Journal of Archaeological Science
JBerlMus	Jahrbuch der Berliner Museen
JBernHistMus	Jahrbuch des Bernischen historischen Museums
JBL	Journal of Biblical Literature
JCS	Journal of Cuneiform Studies
JdI	Jahrbuch des Deutschen Archäologischen Instituts
JdI-EH	Jahrbuch des Deutschen Archäologischen Instituts. Ergänzungsheft
JEA	The Journal of Egyptian Archaeology
JEOL	Jaarbericht van het Vooraziatisch-egyptisch genootschap "Ex Oriente Lux"
JESHO	Journal of the Economic and Social History of the Orient
JFA	Journal of Field Archaeology
JGH	Journal of Garden History (continued by SHG)
JGött	Jahrbuch der Akademie der Wissenschaften in Göttingen
JGS	Journal of Glass Studies
JHS	Journal of Hellenic Studies
JIAN	Journal international d'archéologie numismatique
JIES	Journal of Indo-European Studies
JJurP	Journal of Juristic Papyrology
JKF	Jahrbuch für kleinasiatische Forschung
JKSW	Jahrbuch der Kunsthistorischen Sammlungen in Wien
JMA	Journal of Mediterranean Archaeology
JMainz	Jahrbuch. Akademie der Wissenschaften und der Literatur [Mainz]
JMFA	Journal of the Museum of Fine Arts, Boston
JMithSt	Journal of Mithraic Studies
JMünch	Jahrbuch. Bayerische Akademie der Wissenschaften [Munich]
JNES	Journal of Near Eastern Studies
JNG	Jahrbuch für Numismatik und Geldgeschichte
JÖBG	Jahrbuch der Österreichischen Byzantinischen Gesellschaft
JOS	Journal of Oman Studies
JP	Journal of Philology
JPKB	Jahrbuch preussischer Kulturbesitz
JPKS	Jahrbuch der preussischen Kunstsammlungen
JPOS	Journal of the Palestine Oriental Society
JPR	Journal of Prehistoric Religion
JQR	Jewish Quarterly Review
JRA	Journal of Roman Archaeology
JRAI	Journal of the Royal Anthropological Institute
JRAS	Journal of the Royal Asiatic Society
JRel	Journal of Religion
JRGS	Journal of the Royal Geographic Society
JRGZM	Jahrbuch des Römisch-germanischen Zentralmuseums, Mainz
JRS	Journal of Roman Studies
JSAH	Journal of the Society of Architectural Historians
JSav	Journal des savants
JSOR	Journal of the Society of Oriental Research
JSS	Journal of Semitic Studies
JThS	Journal of Theological Studies
Jura	Jura. Rivista internazionale di diritto romano e antico
JWalt	Journal of the Walters Art Gallery
